n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
1,1,2021-05-10 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 3 & 4,1,3,Innovation,4,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
2,1,2021-05-10 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 3 & 4,2,14,Plympton Halifax,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
3,1,2021-05-10 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 3 & 4,3,9,Marden,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
4,1,2021-05-10 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 3 & 4,4,3,Innovation,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
5,1,2021-05-10 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,1,3,Innovation,4,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
6,1,2021-05-10 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,2,9,Marden,4,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
7,1,2021-05-10 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,3,14,Plympton Halifax,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
8,1,2021-05-10 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,4,3,Innovation,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
9,1,2021-05-10 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,5,9,Marden,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
10,1,2021-05-10 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,1,3,Innovation,4,A Sweet Dose,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
11,1,2021-05-10 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,2,14,Plympton Halifax,3,Singing in the Rain,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
12,1,2021-05-10 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,3,3,Innovation,3,The Orphanage,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
13,1,2021-05-10 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,4,9,Marden,3,I've got no strings,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
14,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,4,3,Division 4,Division 3 & 4,Division 3 & 4,1,1,Jayde,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
15,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,4,3,Division 4,Division 3 & 4,,2,10,Waratah,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
16,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,3,4,Division 3,Division 3 & 4,,3,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
17,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,3,4,Division 3,Division 3 & 4,,4,40,Del Sante Gardens,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
18,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,3,4,Division 3,Division 3 & 4,,5,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
19,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,3,4,Division 3,Division 3 & 4,,6,32,Payton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
20,1,2021-05-10 19:30:00,Intermediates,2,1,Free Exercises,Core,3,4,Division 3,Division 3 & 4,,7,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
21,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,4,3,Division 4,Division 3 & 4,,1,10,Waratah,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
22,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,4,3,Division 4,Division 3 & 4,,2,1,Jayde,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
23,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,3,4,Division 3,Division 3 & 4,,3,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
24,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,3,4,Division 3,Division 3 & 4,,4,32,Payton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
25,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,3,4,Division 3,Division 3 & 4,,5,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
26,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,3,4,Division 3,Division 3 & 4,,6,40,Del Sante Gardens,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
27,1,2021-05-10 19:30:00,Intermediates,3,2,Rod Exercises,Core,3,4,Division 3,Division 3 & 4,,7,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
28,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,4,3,Division 4,Division 3 & 4,,1,1,Jayde,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
29,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,4,3,Division 4,Division 3 & 4,,2,10,Waratah,1,Harry Potter,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
30,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,3,4,Division 3,Division 3 & 4,,3,32,Payton,1,What's up Doc? ,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
31,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,3,4,Division 3,Division 3 & 4,,4,38,Seaford,1,Enchanted Heroines,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
32,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,3,4,Division 3,Division 3 & 4,,5,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
33,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,3,4,Division 3,Division 3 & 4,,6,16,Largs North,1,Cats in the Night,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
34,1,2021-05-10 19:30:00,Intermediates,7,3,Rhythmic Interpretation,Fancy,3,4,Division 3,Division 3 & 4,,7,40,Del Sante Gardens,1,Home Coming,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
35,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,1,38,Seaford,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
36,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,2,38,Seaford,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
37,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,3,39,Cherum,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
38,1,2021-05-11 18:00:00,Sub Juniors,1,1,Figure March,Core,4,5,Division 4,Division 4 & 5,,4,26,Elizabeth Eastside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
