n,ClubSlug,comp-id,session-start,Age groups,ItemSeq,DivisionName,Routine,Item,rawteam,Team,TeamName,Music
1,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,1,Song with Movement,Tinies Gold,2,Gold,
2,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,2,Figure March,Tinies Navy,1,Navy,
3,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,3,Rod Exercises,Tinies White,3,White,
4,Plympton Halifax,3,2021-06-19 14:00:00,Non Competitive Tinies,1,All Divisions,4,Free Exercises,Sparkles,1,Sparkles,
5,Plympton Halifax,3,2021-06-19 14:00:00,Non Competitive Tinies,1,All Divisions,5,Aesthetic,Tinkerbells,2,Tinkerbells,
6,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,6,Free Exercises,Tinies Gold,2,Gold,
7,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,7,Free Exercises,Tinies Navy,1,Navy,
8,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,8,Song with Movement,Tinies White,3,White,
9,Plympton Halifax,3,2021-06-19 14:00:00,Non Competitive Tinies,1,All Divisions,9,Figure March,Sparkles,1,Sparkles,
10,Plympton Halifax,3,2021-06-19 14:00:00,Non Competitive Tinies,1,All Divisions,10,Free Exercises,Tinkerbells,2,Tinkerbells,
11,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,11,Rod Exercises,Tinies Navy,1,Navy,
12,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,12,Figure March,Tinies Gold,2,Gold,
13,Plympton Halifax,3,2021-06-19 14:00:00,Competitive Tinies,1,All Divisions,13,Free Exercises,Tinies White,3,White,
14,Plympton Halifax,3,2021-06-19 14:00:00,Non Competitive Tinies,1,All Divisions,14,Dance Arrangement,Sparkles,1,Sparkles,
